"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","369.34","398.71","398.71","357.44","117.90M","-8.22%"
"03/04/2025","402.43","443.29","443.29","402.12","94.06M","-10.61%"
"02/04/2025","450.22","440.44","450.65","437.02","59.96M","1.58%"
"01/04/2025","443.23","442.00","444.58","436.43","60.54M","0.07%"
"31/03/2025","442.90","438.72","445.24","427.42","66.79M","-0.74%"
"28/03/2025","446.18","463.65","465.02","445.51","75.25M","-3.66%"
"27/03/2025","463.15","468.55","468.81","458.42","56.80M","-1.69%"
"26/03/2025","471.10","479.30","482.30","469.70","50.42M","-1.46%"
"25/03/2025","478.09","471.71","479.93","471.66","56.50M","1.93%"
"24/03/2025","469.03","458.32","474.93","458.32","62.89M","3.07%"
"21/03/2025","455.04","463.86","463.86","448.13","103.05M","-2.30%"
"20/03/2025","465.73","467.42","470.82","464.12","54.93M","-0.33%"
"19/03/2025","467.29","461.85","470.99","460.21","55.14M","1.29%"
"18/03/2025","461.33","459.12","462.03","454.63","53.30M","0.49%"
"17/03/2025","459.08","458.34","462.90","454.32","55.16M","0.17%"
"14/03/2025","458.28","451.30","459.56","450.30","48.83M","3.03%"
"13/03/2025","444.79","443.38","453.95","442.21","58.84M","0.24%"
"12/03/2025","443.73","441.38","448.07","438.12","65.24M","1.65%"
"11/03/2025","436.54","425.01","441.70","425.01","79.87M","2.78%"
"10/03/2025","424.74","447.32","447.32","419.58","80.87M","-5.54%"
"07/03/2025","449.64","452.25","456.31","439.88","53.62M","-0.70%"
"06/03/2025","452.80","454.80","462.32","448.33","57.92M","-0.82%"
"05/03/2025","456.53","438.99","457.92","438.99","67.45M","4.52%"
"04/03/2025","436.79","447.78","447.78","428.47","64.79M","-2.64%"
"03/03/2025","448.64","468.02","476.40","446.21","57.18M","-3.34%"
"28/02/2025","464.15","461.55","464.27","456.54","50.94M","0.42%"
"27/02/2025","462.20","464.00","472.85","461.65","48.74M","-0.30%"
"26/02/2025","463.61","470.81","473.72","463.07","48.03M","0.60%"
"25/02/2025","460.84","463.98","463.98","454.04","63.78M","-0.65%"
"24/02/2025","463.86","463.90","468.64","460.94","39.03M","0.50%"
"21/02/2025","461.53","480.90","481.89","460.09","47.06M","-3.96%"
"20/02/2025","480.57","478.75","488.39","477.39","37.57M","0.48%"
"19/02/2025","478.28","479.31","481.88","477.53","41.97M","-1.65%"
"18/02/2025","486.30","480.86","487.41","476.48","44.48M","1.27%"
"14/02/2025","480.20","481.95","485.80","476.56","47.15M","0.13%"
"13/02/2025","479.56","468.89","480.57","467.20","62.48M","2.99%"
"12/02/2025","465.62","470.33","473.37","465.32","50.03M","-1.22%"
