Date,Open,High,Low,Close
5-April-2022,60786.07,60786.07,60067.18,60176.50
6-April-2022,59815.71,59941.57,59509.84,59610.41
7-April-2022,59402.61,59504.92,58977.35,59034.95
8-April-2022,59256.97,59654.44,58876.36,59447.18
11-April-2022,59333.18,59355.76,58894.40,58964.57
12-April-2022,58743.50,58794.78,58298.57,58576.37
13-April-2022,58910.74,59003.82,58291.23,58338.93
18-April-2022,57338.58,57420.80,56842.39,57166.74
19-April-2022,57381.77,57464.08,56009.07,56463.15
20-April-2022,56741.43,57216.51,56521.33,57037.50
21-April-2022,57458.60,57991.53,57311.86,57911.68
22-April-2022,57531.95,57689.86,57134.72,57197.15
25-April-2022,56757.64,56875.65,56356.87,56579.89
26-April-2022,57066.24,57442.24,56904.51,57356.61
27-April-2022,56983.68,57079.03,56584.04,56819.39
28-April-2022,57296.31,57790.85,56936.94,57521.06
29-April-2022,57817.51,57975.48,56902.30,57060.87
2-May-2022,56429.45,57054.23,56412.62,56975.99
4-May-2022,57124.91,57184.21,55501.60,55669.03
5-May-2022,56255.07,56566.80,55613.82,55702.23
6-May-2022,54928.29,55070.12,54586.75,54835.58
9-May-2022,54188.21,54795.47,53918.02,54470.67
10-May-2022,54309.31,54857.02,54226.33,54364.85
11-May-2022,54544.91,54598.55,53519.30,54088.39
12-May-2022,53608.35,53632.55,52702.30,52930.31
13-May-2022,53565.74,53785.71,52654.89,52793.62
16-May-2022,52946.32,53428.28,52632.48,52973.84
17-May-2022,53285.19,54399.42,53176.02,54318.47
18-May-2022,54554.89,54786.00,54130.89,54208.53
19-May-2022,53070.30,53356.04,52669.51,52792.23
20-May-2022,53513.97,54396.43,53403.29,54326.39
23-May-2022,54459.95,54931.30,54191.55,54288.61
24-May-2022,54307.56,54524.37,53886.28,54052.61
25-May-2022,54254.07,54379.59,53683.16,53749.26
26-May-2022,53950.84,54346.22,53425.25,54252.53
27-May-2022,54671.50,54936.63,54449.34,54884.66
30-May-2022,55507.75,56082.65,55466.30,55925.74
31-May-2022,55622.01,55925.62,55369.14,55566.41
1-June-2022,55588.27,55791.49,55091.43,55381.17
2-June-2022,55382.44,55891.92,55135.11,55818.11
3-June-2022,56245.60,56432.65,55719.36,55769.23
6-June-2022,55610.64,55832.28,55295.74,55675.32
7-June-2022,55373.18,55387.77,54882.41,55107.34
8-June-2022,55345.51,55423.97,54683.30,54892.49
9-June-2022,54514.17,55366.84,54507.41,55320.28
10-June-2022,54760.25,54780.78,54205.99,54303.44
13-June-2022,53184.61,53207.54,52527.08,52846.70
14-June-2022,52495.94,53095.32,52459.48,52693.57
15-June-2022,52650.41,52867.73,52493.36,52541.39
16-June-2022,53018.91,53142.50,51425.48,51495.79
17-June-2022,51181.99,51652.83,50921.22,51360.42
20-June-2022,51470.03,51714.61,51062.93,51597.84
21-June-2022,51897.60,52799.40,51808.76,52532.07
22-June-2022,52186.36,52272.85,51739.98,51822.53
23-June-2022,51972.75,52516.79,51632.85,52265.72
24-June-2022,52654.24,52909.87,52447.25,52727.98
27-June-2022,53468.89,53509.50,53120.79,53161.28
28-June-2022,52846.26,53301.40,52771.53,53177.45
29-June-2022,52623.15,53244.84,52612.68,53026.97
30-June-2022,52897.16,53377.54,52883.25,53018.94
1-July-2022,52863.34,53053.04,52094.25,52907.93
4-July-2022,52851.67,53301.99,52674.81,53234.77
5-July-2022,53501.21,53865.93,53054.30,53134.35
6-July-2022,53170.70,53819.31,53143.28,53750.97
7-July-2022,54146.68,54254.79,53927.26,54178.46
8-July-2022,54574.43,54627.14,54278.77,54481.84
11-July-2022,54248.60,54527.90,54090.53,54395.23
12-July-2022,54219.78,54236.49,53824.97,53886.61
13-July-2022,54210.10,54211.22,53455.26,53514.15
14-July-2022,53688.62,53861.28,53163.77,53416.15
15-July-2022,53637.88,53811.37,53361.62,53760.78
18-July-2022,54069.30,54556.66,54034.97,54521.15
19-July-2022,54251.88,54817.52,54232.82,54767.62
20-July-2022,55486.12,55630.26,55298.23,55397.53
21-July-2022,55391.93,55738.49,55270.75,55681.95
